version,dataset,index_size,k,point,exec_time
v2.4,COUNTY,10_6,1000,200_200,1342
v2.4,COUNTY,10_6,1000,500_500,1458
v2.4,COUNTY,10_6,1000,1000_1000,1319
v2.4,COUNTY,10_6,1000,2000_2000,1347
v2.4,COUNTY,10_6,2000,200_200,1190
v2.4,COUNTY,10_6,2000,500_500,1439
v2.4,COUNTY,10_6,2000,1000_1000,1675
v2.4,COUNTY,10_6,2000,2000_2000,1618
v2.4,COUNTY,10_4,1000,200_200,1032
v2.4,COUNTY,10_4,1000,500_500,953
v2.4,COUNTY,10_4,1000,1000_1000,974
v2.4,COUNTY,10_4,1000,2000_2000,1086
v2.4,COUNTY,10_3,1000,200_200,1494
v2.4,COUNTY,10_3,1000,500_500,1085
v2.4,COUNTY,10_3,1000,1000_1000,1269
v2.4,COUNTY,10_3,1000,2000_2000,1443
v2.4,COUNTY,10_2,1000,200_200,1196
v2.4,COUNTY,10_2,1000,500_500,1175
v2.4,COUNTY,10_2,1000,1000_1000,1210
v2.4,COUNTY,10_2,1000,2000_2000,1163
v2.4,ZCTA5,10_6,1000,200_200,997
v2.4,ZCTA5,10_6,1000,500_500,971
v2.4,ZCTA5,10_6,1000,1000_1000,983
v2.4,ZCTA5,10_6,1000,2000_2000,974
v2.4,ZCTA5,10_6,2000,200_200,995
v2.4,ZCTA5,10_6,2000,500_500,995
v2.4,ZCTA5,10_6,2000,1000_1000,1016
v2.4,ZCTA5,10_6,2000,2000_2000,1016
v2.4,ZCTA5,10_4,1000,200_200,1119
v2.4,ZCTA5,10_4,1000,500_500,1096
v2.4,ZCTA5,10_4,1000,1000_1000,974
v2.4,ZCTA5,10_4,1000,2000_2000,1161
v2.4,ZCTA5,10_4,2000,200_200,1105
v2.4,ZCTA5,10_4,2000,500_500,1005
v2.4,ZCTA5,10_4,2000,1000_1000,886
v2.4,ZCTA5,10_4,2000,2000_2000,897
v2.4improved,COUNTY,10_6,1000,200_200,884
v2.4improved,COUNTY,10_6,1000,500_500,750
v2.4improved,COUNTY,10_6,1000,1000_1000,786
v2.4improved,COUNTY,10_6,1000,2000_2000,949
v2.4improved,COUNTY,10_6,2000,200_200,763
v2.4improved,COUNTY,10_6,2000,500_500,827
v2.4improved,COUNTY,10_6,2000,1000_1000,797
v2.4improved,COUNTY,10_6,2000,2000_2000,840
v2.4improved,COUNTY,10_4,1000,200_200,779
v2.4improved,COUNTY,10_4,1000,500_500,963
v2.4improved,COUNTY,10_4,1000,1000_1000,928
v2.4improved,COUNTY,10_4,1000,2000_2000,804
v2.4improved,COUNTY,10_4,2000,200_200,853
v2.4improved,COUNTY,10_4,2000,500_500,835
v2.4improved,COUNTY,10_4,2000,1000_1000,952
v2.4improved,COUNTY,10_4,2000,2000_2000,881
v2.4improved,ZCTA5,10_6,1000,200_200,905
v2.4improved,ZCTA5,10_6,1000,500_500,873
v2.4improved,ZCTA5,10_6,1000,1000_1000,831
v2.4improved,ZCTA5,10_6,1000,2000_2000,1048
v2.4improved,ZCTA5,10_6,2000,200_200,941
v2.4improved,ZCTA5,10_6,2000,500_500,971
v2.4improved,ZCTA5,10_6,2000,1000_1000,941
v2.4improved,ZCTA5,10_6,2000,2000_2000,965
v2.4improved,ZCTA5,10_4,1000,200_200,906
v2.4improved,ZCTA5,10_4,1000,500_500,907
v2.4improved,ZCTA5,10_4,1000,1000_1000,908
v2.4improved,ZCTA5,10_4,1000,2000_2000,951
v2.4improved,ZCTA5,10_4,2000,200_200,872
v2.4improved,ZCTA5,10_4,2000,500_500,951
v2.4improved,ZCTA5,10_4,2000,1000_1000,898
v2.4improved,ZCTA5,10_4,2000,2000_2000,928
